ProductId	Description	BinLocation	UnitPrice
002879143-6	Mousse - Passion Fruit	36800-917	13.53
678316690-2	Cookie Dough - Chunky	58118-1271	14.79
084268730-0	Longos - Chicken Curried	0264-3123	16.35
208294003-9	Broom And Brush Rack Black	55312-557	18.51
114508758-2	Bread Foccacia Whole	43353-725	13.61
197064847-3	Pasta - Penne, Rigate, Dry	63402-911	14.65
805382374-2	Chocolate Liqueur - Godet White	52257-1110	15.10
901888749-8	Arctic Char - Fillets	54868-6302	15.08
938427835-1	Wine - Tio Pepe Sherry Fino	69148-001	11.99
531600769-7	Pesto - Primerba, Paste	63629-3587	12.80
485624744-1	Praline Paste	0591-5321	16.97
042594862-5	Nantucket - Carrot Orange	10191-1930	12.50
082224459-4	Fond - Neutral	0363-0631	12.64
739744891-7	Sping Loaded Cup Dispenser	44523-550	15.89
310932862-3	Carrots - Purple, Organic	48095-390	16.80
308605547-2	Zucchini - Green	49035-359	18.62
909057342-9	Seedlings - Mix, Organic	0054-0056	10.55
773339496-1	Pork - Back Ribs	21695-661	17.12
531168229-9	Lady Fingers	68405-044	10.72
358503930-8	Turnip - Mini	55154-5057	10.65
154169260-8	Pie Box - Cello Window 2.5	55910-871	11.54
575585033-X	Puff Pastry - Slab	61919-012	15.04
098735837-5	Truffle Cups - White Paper	36987-2828	19.31
678009443-9	Pork - Loin, Center Cut	0067-6396	17.68
517139041-X	Rabbit - Legs	55316-281	18.18
818020109-0	Nut - Almond, Blanched, Whole	60429-222	16.12
870604500-6	Silicone Parch. 16.3x24.3	64679-953	14.54
188858810-1	Pie Box - Cello Window 2.5	0555-0606	19.07
607896413-5	Shrimp - 150 - 250	0310-0101	11.93
551614419-1	Liners - Baking Cups	55111-533	18.31
233085301-7	Buttons	0904-5186	17.72
779376498-6	Doilies - 5, Paper	0781-3032	17.55
467422433-0	Wood Chips - Regular	48273-001	17.07
510728405-1	Oregano - Fresh	10544-013	14.14
694860921-X	Corn Syrup	0002-7502	10.27
820473945-1	Rice - Basmati	30142-519	14.95
580547910-9	Artichokes - Jerusalem	48951-1109	15.79
345274153-2	Crab - Back Fin Meat, Canned	49738-622	13.47
511055534-6	Wine - Chianti Classica Docg	68084-155	19.09
284248092-9	Lemonade - Black Cherry, 591 Ml	64980-510	10.89
121354290-1	Carbonated Water - Orange	65597-111	17.44
228845564-0	French Kiss Vanilla	37808-532	11.37
224188734-X	Milk - Homo	49999-053	11.28
138369035-9	Longos - Lasagna Beef	52125-218	11.49
369589036-3	Pork - Tenderloin, Frozen	62936-0042	17.19
941241489-7	Raspberries - Frozen	43742-0197	14.80
581249337-5	Soup - Knorr, Veg / Beef	49884-459	14.35
917615480-7	Cheese - Brick With Onion	0904-6093	18.29
887827429-1	Higashimaru Usukuchi Soy	51808-207	10.59
015676331-1	Tart Shells - Savory, 2	0363-0246	12.82
237501153-8	Sauce - Cranberry	45802-263	19.34
761271998-3	Yukon Jack	52125-384	17.21
871741425-3	Pectin	51346-148	10.66
731924779-8	Tart - Butter Plain Squares	50242-044	17.16
895973212-5	Beer - Steamwhistle	49999-889	15.40
075876046-9	Lettuce - Romaine, Heart	0093-7485	19.18
757536357-2	Salad Dressing	0054-8297	19.03
253757482-6	Beef - Short Ribs	54569-1923	17.40
075191343-X	Juice - Orange	0085-1322	17.23
614182759-4	Bread - Pita, Mini	68462-536	13.85
043251640-9	Evaporated Milk - Skim	58633-233	14.61
285827243-3	Lemon Tarts	41900-200	13.47
255208490-7	Cheese - Mozzarella, Buffalo	67510-0063	11.37
404304655-3	Sauce - Caesar Dressing	52069-103	13.02
580007945-5	Muffin - Carrot Individual Wrap	62011-0021	10.10
241087256-5	Beef - Prime Rib Aaa	68151-4235	18.58
341981153-5	Bag - Clear 7 Lb	68084-197	18.33
132078518-2	Soup - Campbells Beef Noodle	0378-4010	18.56
848204869-4	Cookie Double Choco	61481-0037	16.60
727703000-1	Mustard - Dry, Powder	37000-352	17.21
553055172-6	Eggwhite Frozen	68382-019	19.41
222533813-2	Bacardi Breezer - Tropical	54575-169	14.40
693297998-5	Thermometer Digital	21695-494	16.73
586897980-X	Piping - Bags Quizna	0409-5622	14.03
115609601-4	Oregano - Dry, Rubbed	0591-0408	11.40
449814174-1	Pepper - Paprika, Spanish	0378-0217	15.90
572893944-9	Pasta - Orzo, Dry	54868-6310	13.88
973499869-2	Rice - Long Grain	15127-540	12.10
370625794-7	Wine - Chateau Bonnet	37808-418	13.36
386946110-1	Lemonade - Mandarin, 591 Ml	10812-237	10.53
950177847-9	Bread - Multigrain Oval	0310-0951	12.59
453752797-8	Sausage - Breakfast	36987-1547	16.20
131406926-8	Chilli Paste, Ginger Garlic	49349-020	14.62
154607771-5	Cilantro / Coriander - Fresh	63736-014	14.29
619305066-3	Table Cloth 62x114 Colour	64942-1163	19.56
361844774-4	Nantucket - Pomegranate Pear	20536-322	10.55
396679497-7	Apricots - Halves	68084-540	18.01
161797789-6	Melon - Watermelon, Seedless	64764-550	16.24
676255636-1	Heavy Duty Dust Pan	62742-4031	10.37
601208785-3	Pastry - Apple Large	45802-434	10.68
395464480-0	Sprouts - China Rose	47682-015	16.62
546213575-0	Munchies Honey Sweet Trail Mix	55714-4545	12.16
133643044-3	Wine - Prosecco Valdobiaddene	63629-2867	18.35
209908792-X	Yeast Dry - Fermipan	62756-543	13.66
364240760-9	Beets - Candy Cane, Organic	42507-244	17.88
880495946-0	Buffalo - Striploin	0268-0932	18.11
053349013-8	Chocolate - Milk Coating	63629-5139	11.82
285215189-8	Chocolate - Unsweetened	46122-023	14.08
288627100-4	Chicken - Livers	36987-2080	17.22
797085467-2	Sole - Fillet	61957-2104	19.01
226172788-7	Lobster - Baby, Boiled	55154-3377	15.02
674374419-0	Beef - Kobe Striploin	11084-042	16.73
074411548-5	Mix - Cocktail Strawberry Daiquiri	47993-200	15.87
462213366-0	Pork - Bacon, Double Smoked	33261-826	14.40
938532515-9	Sugar - Splenda Sweetener	68788-9413	15.00
821445896-X	Cocoa Powder - Natural	0363-0532	17.37
826466215-3	Wine - White, Chardonnay	57344-123	12.47
167616472-3	Shrimp - 16 - 20 Cooked, Peeled	67938-0938	14.11
166054979-5	Mushroom - Chantrelle, Fresh	54868-5768	19.04
415433300-3	Oil - Macadamia	60512-6446	16.82
249413727-6	Yams	43538-920	19.61
680554619-2	Kellogs Special K Cereal	62802-600	15.98
225389413-3	Bar - Granola Trail Mix Fruit Nut	75847-1401	16.20
465250473-X	Mushroom - Crimini	63783-400	13.69
112134447-X	Fish - Artic Char, Cold Smoked	49349-689	15.94
464123849-9	Mushroom - Trumpet, Dry	55154-3448	15.29
183909538-5	Chocolate - Milk	64679-954	18.43
854850001-8	Pastry - Apple Large	43063-177	18.30
750546662-3	Wine - Guy Sage Touraine	49288-0851	11.11
550175454-1	Onions - White	0548-3015	17.45
209045198-X	Pork - Butt, Boneless	64376-138	18.59
725900469-X	Oil - Food, Lacquer Spray	51672-4061	16.46
699086437-0	Chef Hat 25cm	67938-0945	16.02
363671887-8	Quail - Whole, Bone - In	49288-0736	12.12
354153497-4	Oven Mitts 17 Inch	65862-362	11.60
199580293-X	Tomatoes	42808-204	17.31
031198517-3	Sausage - Liver	55316-267	11.21
460051268-5	Kale - Red	0409-2689	19.44
971472465-1	Tahini Paste	14060-010	13.71
031952875-8	Potatoes - Peeled	49789-080	18.39
637562862-8	Table Cloth 62x114 Colour	55319-480	12.60
692476601-3	Bamboo Shoots - Sliced	41595-5528	18.53
173655150-7	Honey - Comb	63824-263	14.33
044234242-X	Myers Planters Punch	0363-1019	11.72
659858341-1	Broccoli - Fresh	60512-6457	14.32
481910960-X	Foam Dinner Plate	0904-6185	11.25
653880838-7	Anchovy Paste - 56 G Tube	63777-222	12.65
215279359-5	Pea - Snow	55154-0837	13.96
213135844-X	Petit Baguette	76081-020	19.73
320008257-7	Flavouring - Raspberry	36800-228	15.42
913616712-6	Juice - Lagoon Mango	68084-083	13.90
347883456-2	Sprouts - Pea	63629-1561	12.05
705381074-7	Beef - Ox Tail, Frozen	0173-0394	13.46
493324934-2	Pork Casing	25225-012	11.74
931783923-1	Carbonated Water - Wildberry	36987-2969	15.37
725615909-9	Tart - Lemon	59535-4611	11.47
533524738-X	Cassis	59630-710	11.15
675028109-5	Pimento - Canned	67239-0206	15.59
418118692-X	Trout - Hot Smkd, Dbl Fillet	52960-201	12.66
695798309-9	Anisette - Mcguiness	53346-1334	19.48
080379105-4	Oregano - Fresh	52125-954	16.65
735504840-6	Bread - English Muffin	65044-2320	12.33
544791959-2	Cheese - Swiss Sliced	68258-3031	19.33
163958651-2	Beer - Paulaner Hefeweisse	63629-4543	13.97
960940827-3	Bread - 10 Grain Parisian	35000-858	15.68
995018772-9	Bread - Bagels, Mini	65224-539	11.79
081927532-8	Kahlua	63187-087	19.08
442302309-1	Star Fruit	63868-758	15.01
863422947-5	Canada Dry	46994-304	17.37
056502840-5	Slt - Individual Portions	56062-906	13.05
635107483-5	Pork - Back, Short Cut, Boneless	48951-3053	18.02
407258706-0	Potato - Sweet	42571-100	19.23
734212216-5	Yeast Dry - Fermipan	41250-999	19.54
991867789-9	Wine - White, Gewurtzraminer	0378-0616	17.47
380875781-7	Pectin	53210-1004	18.46
759321141-X	Bagel - Sesame Seed Presliced	49349-886	16.89
540709246-8	Wine - Black Tower Qr	0069-0076	17.29
746678033-4	Beef - Ox Tongue, Pickled	68428-139	13.86
887257854-X	Longos - Lasagna Veg	41520-890	19.49
198804220-8	Bread - Olive	63304-435	13.29
652517872-X	Pastry - Cherry Danish - Mini	49348-600	18.30
206291816-X	Country Roll	55550-030	10.19
851692601-X	Table Cloth 72x144 White	67544-250	14.44
258721428-9	Ecolab - Power Fusion	36987-2685	11.20
636178900-4	Laundry - Bag Cloth	0113-0590	11.48
593509954-3	Cup - Translucent 7 Oz Clear	55513-478	12.94
850484296-7	Wine - Fat Bastard Merlot	60429-146	19.77
677895103-6	Salt - Kosher	65862-523	15.69
855038199-3	Longos - Chicken Curried	66738-701	16.93
379982434-0	Bag - Regular Kraft 20 Lb	36800-339	17.66
118514571-0	Oven Mitts 17 Inch	24236-448	12.59
736240077-2	Oil - Grapeseed Oil	0615-5534	17.01
206806069-8	Beans - Turtle, Black, Dry	42291-888	12.60
620295557-0	Ham - Cooked Bayonne Tinned	68428-007	12.50
952042367-2	Calypso - Lemonade	43857-0204	12.02
026101769-1	Mushrooms - Black, Dried	51191-2016	18.94
700803191-2	Veal Inside - Provimi	0378-8172	16.87
585510705-1	Table Cloth 81x81 White	42507-321	11.36
469934560-3	Cheese Cloth	35356-341	12.65
501486661-1	Wine - Ej Gallo Sonoma	66129-113	14.42
242532865-3	Pork - European Side Bacon	54868-5795	16.16
416923025-6	Table Cloth 54x54 Colour	67777-246	12.82
298948212-1	Soup - Campbells Asian Noodle	59762-4321	13.50
934832696-1	Spice - Chili Powder Mexican	68001-256	15.27
327812077-9	Beer - Rickards Red	36987-2859	15.80
183431410-0	Coffee - Frthy Coffee Crisp	59779-175	13.90
226644220-1	Uniform Linen Charge	57520-0758	11.93
501125919-6	Pineapple - Regular	23155-119	13.59
676187694-X	Bread - Pumpernickel	16590-080	13.51
377019136-6	Mushroom - Shitake, Fresh	0143-9960	14.24
700829131-0	Creme De Cacao Mcguines	31722-237	13.07
425533245-2	Flour - Teff	62670-4359	12.29
293249826-6	Wine - Sherry Dry Sack, William	62175-897	18.83
801782444-0	Wine - Puligny Montrachet A.	68788-9400	18.38
485216097-X	Wine - George Duboeuf Rose	0003-1964	19.36
264180214-7	Mikes Hard Lemonade	54868-5567	16.04
791640908-9	Pastry - Choclate Baked	43742-0004	11.28
996848166-1	Glucose	41520-328	10.14
259843385-8	Bread - Focaccia Quarter	75874-424	19.08
317589803-3	Squid - Breaded	76237-309	18.51
382233084-1	Muffin Mix - Blueberry	61062-0008	17.98
159626606-6	Macaroons - Two Bite Choc	63029-401	10.79
180576102-1	Wine - Piper Heidsieck Brut	51672-4043	13.25
531097757-0	Chocolate - Unsweetened	36987-2445	19.26
226431877-5	Coffee - Egg Nog Capuccino	63736-206	18.89
263059983-3	Milk - Skim	0603-4416	14.98
851568519-1	Wine - Fino Tio Pepe Gonzalez	55312-484	15.56
495551708-0	Longos - Lasagna Beef	54868-3005	14.09
456606184-1	Skirt - 29 Foot	35000-048	16.49
245027025-6	Beans - Yellow	59260-135	13.58
285437161-5	Lemon Balm - Fresh	49643-015	15.89
016514350-9	Chicken - Base, Ultimate	60258-850	18.20
092976939-2	Pasta - Gnocchi, Potato	57520-0725	15.09
469811661-9	Pastry - Raisin Muffin - Mini	0615-7627	19.51
460538925-3	True - Vue Containers	63646-191	18.05
943288910-6	Mustard - Seed	64942-1147	12.49
587404955-X	Rum - Mount Gay Eclipes	60319-4001	14.99
338204706-3	Fib N9 - Prague Powder	60512-7120	14.32
885327132-9	Laundry - Bag Cloth	55346-0418	13.56
286238435-6	Grenadine	36987-2440	19.98
377775175-8	Lid Coffeecup 12oz D9542b	14783-248	12.76
311349026-X	Turkey Leg With Drum And Thigh	0264-9341	10.20
073772000-X	Sea Bass - Fillets	52125-021	14.90
193090255-7	Table Cloth 54x54 Colour	62175-152	16.24
963405702-0	Squid - Tubes / Tenticles 10/20	43621-001	10.88
799629602-2	Wine - Masi Valpolocell	52533-146	16.45
224057626-X	Turnip - White, Organic	43857-0176	15.79
306782221-8	Cod - Fillets	53852-0008	19.06
639950072-9	C - Plus, Orange	54458-934	15.55
321607917-1	Cheese - Provolone	49349-112	19.72
198094445-8	Sauce - Ranch Dressing	54868-0074	18.23
623697675-9	Wine - Domaine Boyar Royal	57520-0546	15.09
145412052-5	Sugar - Fine	49349-607	14.21
696991448-8	Lamb - Whole Head Off,nz	68196-375	16.29
874915621-7	Clams - Littleneck, Whole	49738-216	14.37
138573154-0	Chickhen - Chicken Phyllo	29336-400	16.57
844047851-8	Lamb - Racks, Frenched	55111-259	11.42
592349174-5	Wine - Red Oakridge Merlot	51523-021	16.18
116925002-5	Wine - Charddonnay Errazuriz	63629-4561	11.68
019868941-1	Spice - Peppercorn Melange	0268-6705	11.16
265653363-5	Sandwich Wrap	63629-1862	13.13
278319336-1	Pasta - Shells, Medium, Dry	55655-123	10.82
650514030-1	Beans - Kidney, Canned	42023-143	15.08
917972581-3	Yoplait - Strawbrasp Peac	0406-1009	10.88
936051349-0	Cheese - Taleggio D.o.p.	64205-488	16.17
659571251-2	Pepper - Black, Ground	43353-815	16.35
054355497-X	Dc Hikiage Hira Huba	64117-236	17.18
030255535-8	Venison - Striploin	55289-825	12.02
961031314-0	Bread - Focaccia Quarter	54868-6130	14.83
796879602-4	Sprite - 355 Ml	0469-2602	14.35
136647425-2	Bar Mix - Lime	67234-008	12.83
149215145-9	Chinese Foods - Plain Fried Rice	43857-0045	14.28
360895089-3	Cheese - Roquefort Pappillon	42213-375	10.59
271042548-3	Lime Cordial - Roses	67046-084	10.59
687013825-7	Turkey Tenderloin Frozen	13811-647	17.04
146985107-5	Sugar - Splenda Sweetener	65862-121	13.07
034738932-5	Bread - Olive Dinner Roll	58411-159	19.98
434566050-5	Zucchini - Green	64942-1225	19.79
717420052-4	Wine - Magnotta - Bel Paese White	46987-330	10.89
820014904-8	Appetizer - Mini Egg Roll, Shrimp	64893-331	14.98
058075804-4	Basil - Primerba, Paste	36987-1756	15.49
090372648-3	Flounder - Fresh	58876-102	12.58
774349785-2	Liqueur - Melon	52605-144	18.04
165658043-8	Bread - Sour Batard	68788-9699	17.30
315220845-6	Wine - Red, Pinot Noir, Chateau	54575-408	12.50
097934092-6	Sherry - Dry	0591-5786	13.77
009721043-9	Russian Prince	58411-156	15.06
846685930-6	Cherries - Fresh	55648-740	12.13
780901312-2	Oven Mitts 17 Inch	61715-089	13.96
987319839-3	Sausage - Breakfast	31511-007	11.72
237443467-2	Capers - Pickled	55648-780	10.50
127960163-9	Cake - Mini Cheesecake	36800-923	19.44
773693460-6	Scallops 60/80 Iqf	36987-2335	17.86
266999626-4	Mcguinness - Blue Curacao	54575-940	16.14
830867837-8	Flour - Semolina	36987-1241	18.84
705990191-4	Nacho Chips	68084-609	15.46
553657833-2	Thermometer Digital	61995-0204	10.72
077164950-9	The Pop Shoppe - Root Beer	11410-407	10.25
268750195-6	Long Island Ice Tea	54868-4419	18.95
064936532-1	Champagne - Brights, Dry	50988-280	19.67
722639298-4	Pork - Ham, Virginia	13734-031	12.19
724822432-4	Ecolab - Mikroklene 4/4 L	0641-0928	16.72
086081994-9	Peas - Pigeon, Dry	54458-966	17.85
279336574-2	Strawberries	13668-151	13.99
276914337-9	Carbonated Water - Strawberry	55301-002	11.68
009597255-2	Table Cloth 62x120 Colour	64483-001	12.68
938139017-7	Horseradish - Prepared	51346-116	12.96
171320987-X	Sprouts - Pea	55154-5653	16.37
900962978-3	Wine - White, Riesling, Semi - Dry	68180-611	19.40
785428776-7	Roe - Lump Fish, Red	69219-103	11.77
232662160-3	Dr. Pepper - 355ml	52125-897	12.79
857130786-5	Tea - Lemon Scented	68745-1036	13.34
690165265-8	Crab - Claws, Snow 16 - 24	49035-071	12.51
917404145-2	Soup Campbells Beef With Veg	54305-507	13.84
817183694-1	Dry Ice	42507-580	12.43
025023916-7	Truffle Cups - Brown	12462-503	19.16
475256730-X	Pears - Anjou	21695-092	13.34
072019927-1	Schnappes - Peach, Walkers	36987-2116	14.89
524081639-5	Lettuce - Escarole	0777-3107	12.75
455951642-1	Bread - Rolls, Corn	68180-360	15.61
933984025-9	Bread - Raisin	49348-476	17.81
557952330-0	Tomatoes - Hot House	51367-006	17.18
467817775-2	Sauce - Chili	43063-025	18.98
485083053-6	Ham - Black Forest	36800-935	12.79
980864064-8	Nut - Almond, Blanched, Sliced	54575-318	14.58
407812323-6	Sugar - Brown	60691-114	11.80
575479091-0	Lettuce - Red Leaf	51079-524	10.62
850479775-9	Grenadillo	37808-668	16.32
615025025-3	Muffin Chocolate Individual Wrap	0074-3683	16.68
341308969-2	Sauce - Soya, Light	43353-827	12.62
997999660-9	Galliano	55154-5474	16.79
492298020-2	Puree - Mango	21695-141	16.99
291265040-2	Beans - Kidney White	0781-1439	10.64
449952258-7	Bread Base - Goodhearth	24385-268	11.29
270803914-8	Teriyaki Sauce	50419-524	18.99
500080942-4	Tuna - Salad Premix	43478-270	11.85
694547336-8	Cheese - Romano, Grated	49288-0950	19.41
333665831-4	Tomatoes	11559-932	14.58
310359620-0	Water - Perrier	55390-123	12.17
477019935-X	Cheese - Bakers Cream Cheese	54868-3478	11.94
993219940-0	Quail Eggs - Canned	21695-496	12.44
145043165-8	Appetizer - Assorted Box	26637-711	14.34
792006420-1	Flour - Bread	63629-2844	18.68
654367203-X	Rice - Jasmine Sented	13537-058	16.06
917073600-6	Calypso - Lemonade	0555-0095	19.34
876142001-8	Bread - White Epi Baguette	68788-9928	19.80
776252544-0	Gelatine Powder	98132-920	17.82
376497626-8	Cornstarch	44567-701	16.70
779843440-2	Wine - White, Ej	24208-313	12.43
311168064-9	Chinese Lemon Pork	50268-617	17.24
778953006-2	Eel - Smoked	50184-1005	11.38
226532257-1	Waffle Stix	64893-331	19.09
978634079-5	Soup - Campbells, Lentil	58411-130	10.21
484200723-0	Juice - Happy Planet	69085-466	10.13
262961498-0	Grenadine	62598-001	10.05
852847826-2	Tart - Pecan Butter Squares	49884-833	18.06
132368985-0	Steam Pan Full Lid	36987-2511	13.61
970455029-4	Sauce - Alfredo	52533-026	16.95
797071757-8	Bar Energy Chocchip	36987-2259	10.65
279432367-9	Stock - Beef, Brown	43742-0487	12.64
355133209-6	Butter - Pod	59078-002	11.17
771041440-0	Cloves - Ground	52233-003	18.59
447722303-X	Mushroom - Porcini Frozen	21695-812	11.38
191541891-7	Soup - Knorr, Classic Can. Chili	66993-663	15.45
881235548-X	Nantucket Apple Juice	0143-9888	17.84
358282086-6	Napkin - Beverage 1 Ply	37000-412	11.82
531392916-X	Bread - Raisin Walnut Pull	63354-372	12.68
717641042-9	Bread - Pita, Mini	75956-147	12.15
481911229-5	Tarragon - Primerba, Paste	56062-517	16.86
889128830-6	Chinese Foods - Pepper Beef	44781-140	14.39
555382098-7	Shrimp - Black Tiger 26/30	48951-7115	19.15
026489891-5	Wine - Red, Pelee Island Merlot	43269-636	10.90
338193293-4	Chambord Royal	50532-066	10.13
315550633-4	Milk 2% 500 Ml	61995-2390	13.30
354744239-7	Pastry - Banana Tea Loaf	75862-003	12.92
000279908-1	Creme De Menth - White	0409-6177	17.84
545781178-6	Beef - Short Ribs	50436-0157	11.78
079590955-1	Wine - Touraine Azay - Le - Rideau	53499-5348	10.62
630603045-X	Oven Mitt - 13 Inch	11822-2683	12.78
480052266-8	Vinegar - Balsamic	68745-1101	15.98
812704644-2	Beef - Rib Eye Aaa	50436-3073	12.20
067620440-6	Appetizer - Assorted Box	50804-227	17.45
458804134-7	Cocoa Powder - Dutched	54575-217	13.07
540144352-8	Beer - Molson Excel	55312-163	12.13
